DATE,CLOSE
1973/05/31,104.95
1973/06/30,104.26
1973/07/31,108.22
1973/08/31,104.25
1973/09/30,108.43
1973/10/31,108.29
1973/11/30,95.96
1973/12/31,97.55
1974/01/31,96.57
1974/02/28,96.22
1974/03/31,93.98
1974/04/30,90.31
1974/05/31,87.28
1974/06/30,86
1974/07/31,79.31
1974/08/31,72.15
1974/09/30,63.54
1974/10/31,73.9
1974/11/30,69.97
1974/12/31,68.56
1975/01/31,76.98
1975/02/28,81.59
1975/03/31,83.36
1975/04/30,87.3
1975/05/31,91.15
1975/06/30,95.19
1975/07/31,88.75
1975/08/31,86.88
1975/09/30,83.87
1975/10/31,89.04
1975/11/30,91.24
1975/12/31,90.19
1976/01/31,100.86
1976/02/29,99.71
1976/03/31,102.77
1976/04/30,101.64
1976/05/31,100.18
1976/06/30,104.28
1976/07/31,103.44
1976/08/31,102.91
1976/09/30,105.24
1976/10/31,102.9
1976/11/30,102.1
1976/12/31,107.46
1977/01/31,102.03
1977/02/28,99.82
1977/03/31,98.42
1977/04/30,98.44
1977/05/31,96.12
1977/06/30,100.48
1977/07/31,98.85
1977/08/31,96.77
1977/09/30,96.53
1977/10/31,92.34
1977/11/30,94.83
1977/12/31,95.1
1978/01/31,89.25
1978/02/28,87.04
1978/03/31,89.21
1978/04/30,96.83
1978/05/31,97.24
1978/06/30,95.53
1978/07/31,100.68
1978/08/31,103.29
1978/09/30,102.54
1978/10/31,93.15
1978/11/30,94.7
1978/12/31,96.11
1979/01/31,99.93
1979/02/28,96.28
1979/03/31,101.59
1979/04/30,101.76
1979/05/31,99.08
1979/06/30,102.91
1979/07/31,103.81
1979/08/31,109.32
1979/09/30,109.32
1979/10/31,101.82
1979/11/30,106.16
1979/12/31,107.94
1980/01/31,114.16
1980/02/29,113.66
1980/03/31,102.09
1980/04/30,106.29
1980/05/31,111.24
1980/06/30,114.24
1980/07/31,121.67
1980/08/31,122.38
1980/09/30,125.46
1980/10/31,127.47
1980/11/30,140.52
1980/12/31,135.76
1981/01/31,129.55
1981/02/28,131.27
1981/03/31,136
1981/04/30,132.81
1981/05/31,132.59
1981/06/30,131.21
1981/07/31,130.92
1981/08/31,122.79
1981/09/30,116.18
1981/10/31,121.89
1981/11/30,126.35
1981/12/31,122.55
1982/01/31,120.4
1982/02/28,113.11
1982/03/31,111.96
1982/04/30,116.44
1982/05/31,111.88
1982/06/30,109.61
1982/07/31,107.09
1982/08/31,119.51
1982/09/30,120.42
1982/10/31,133.71
1982/11/30,138.54
1982/12/31,140.64
1983/01/31,145.3
1983/02/28,148.06
1983/03/31,152.96
1983/04/30,164.42
1983/05/31,162.39
1983/06/30,168.11
1983/07/31,162.56
1983/08/31,164.4
1983/09/30,166.07
1983/10/31,163.55
1983/11/30,166.4
1983/12/31,164.93
1984/01/31,163.41
1984/02/29,157.06
1984/03/31,159.18
1984/04/30,160.05
1984/05/31,150.55
1984/06/30,153.18
1984/07/31,150.66
1984/08/31,166.68
1984/09/30,166.1
1984/10/31,166.09
1984/11/30,163.58
1984/12/31,167.24
1985/01/31,179.63
1985/02/28,181.18
1985/03/31,180.66
1985/04/30,179.83
1985/05/31,189.55
1985/06/30,191.85
1985/07/31,190.92
1985/08/31,188.63
1985/09/30,182.08
1985/10/31,189.82
1985/11/30,202.17
1985/12/31,211.28
1986/01/31,211.78
1986/02/28,226.92
1986/03/31,238.9
1986/04/30,235.52
1986/05/31,247.35
1986/06/30,250.84
1986/07/31,236.12
1986/08/31,252.93
1986/09/30,231.32
1986/10/31,243.98
1986/11/30,249.22
1986/12/31,242.17
1987/01/31,274.0798
1987/02/28,284.2
1987/03/31,291.7
1987/04/30,288.3599
1987/05/31,290.0999
1987/06/30,304
1987/07/31,318.6599
1987/08/31,329.8
1987/09/30,321.83
1987/10/31,251.79
1987/11/30,230.3
1987/12/31,247.08
1988/01/31,257.0698
1988/02/29,267.8198
1988/03/31,258.8899
1988/04/30,261.33
1988/05/31,262.1599
1988/06/30,273.5
1988/07/31,272.02
1988/08/31,261.52
1988/09/30,271.9099
1988/10/31,278.97
1988/11/30,273.7
1988/12/31,277.72
1989/01/31,297.47
1989/02/28,288.8599
1989/03/31,294.8699
1989/04/30,309.6399
1989/05/31,320.5198
1989/06/30,317.98
1989/07/31,346.0798
1989/08/31,351.45
1989/09/30,349.1499
1989/10/31,340.3599
1989/11/30,345.99
1989/12/31,353.3999
1990/01/31,329.0798
1990/02/28,331.8899
1990/03/31,339.94
1990/04/30,330.7998
1990/05/31,361.23
1990/06/30,358.0198
1990/07/31,356.1499
1990/08/31,322.56
1990/09/30,306.0498
1990/10/31,304
1990/11/30,322.22
1990/12/31,330.22
1991/01/31,343.9299
1991/02/28,367.0698
1991/03/31,375.22
1991/04/30,375.3499
1991/05/31,389.8298
1991/06/30,371.1599
1991/07/31,387.8098
1991/08/31,395.4299
1991/09/30,387.8599
1991/10/31,392.46
1991/11/30,375.22
1991/12/31,417.0898
1992/01/31,408.7898
1992/02/29,412.7
1992/03/31,403.6899
1992/04/30,414.95
1992/05/31,415.3499
1992/06/30,408.1399
1992/07/31,424.21
1992/08/31,414.0298
1992/09/30,417.7998
1992/10/31,418.6799
1992/11/30,431.3499
1992/12/31,435.71
1993/01/31,438.7798
1993/02/28,443.3799
1993/03/31,451.6699
1993/04/30,440.1899
1993/05/31,450.1899
1993/06/30,450.5298
1993/07/31,448.1299
1993/08/31,463.5598
1993/09/30,458.9299
1993/10/31,467.8298
1993/11/30,461.7898
1993/12/31,466.45
1994/01/31,481.6099
1994/02/28,467.1399
1994/03/31,445.7698
1994/04/30,450.9099
1994/05/31,456.5
1994/06/30,444.2698
1994/07/31,458.2598
1994/08/31,475.49
1994/09/30,462.6899
1994/10/31,472.3499
1994/11/30,453.6899
1994/12/31,459.2698
1995/01/31,470.4199
1995/02/28,487.3899
1995/03/31,500.71
1995/04/30,514.71
1995/05/31,533.3999
1995/06/30,544.75
1995/07/31,562.0598
1995/08/31,561.8799
1995/09/30,584.4099
1995/10/31,581.5
1995/11/30,605.3699
1995/12/31,615.9299
1996/01/31,636.0198
1996/02/29,640.4299
1996/03/31,645.5
1996/04/30,654.1699
1996/05/31,669.1199
1996/06/30,670.6299
1996/07/31,639.95
1996/08/31,651.99
1996/09/30,687.3098
1996/10/31,705.2698
1996/11/30,757.0198
1996/12/31,740.74
1997/01/31,786.1599
1997/02/28,790.8198
1997/03/31,757.1199
1997/04/30,801.3398
1997/05/31,848.2798
1997/06/30,885.1399
1997/07/31,954.2898
1997/08/31,899.47
1997/09/30,947.2798
1997/10/31,914.6199
1997/11/30,955.4
1997/12/31,970.4299
1998/01/31,980.2798
1998/02/28,1049.34
1998/03/31,1101.75
1998/04/30,1111.75
1998/05/31,1090.82
1998/06/30,1133.84
1998/07/31,1120.67
1998/08/31,957.28
1998/09/30,1017.01
1998/10/31,1098.67
1998/11/30,1163.63
1998/12/31,1229.23
1999/01/31,1279.64
1999/02/28,1238.33
1999/03/31,1286.37
1999/04/30,1335.18
1999/05/31,1301.84
1999/06/30,1372.71
1999/07/31,1328.72
1999/08/31,1320.41
1999/09/30,1282.71
1999/10/31,1362.93
1999/11/30,1388.91
1999/12/31,1469.25
2000/01/31,1394.46
2000/02/29,1366.42
2000/03/31,1498.58
2000/04/30,1452.43
2000/05/31,1420.6
2000/06/30,1454.6
2000/07/31,1430.83
2000/08/31,1517.68
2000/09/30,1436.51
2000/10/31,1429.4
2000/11/30,1314.95
2000/12/31,1320.28
2001/01/31,1366.01
2001/02/28,1239.94
2001/03/31,1160.33
2001/04/30,1249.46
2001/05/31,1255.82
2001/06/30,1224.42
2001/07/31,1211.23
2001/08/31,1133.58
2001/09/30,1040.94
2001/10/31,1059.78
2001/11/30,1139.45
2001/12/31,1148.08
2002/01/31,1130.2
2002/02/28,1106.73
2002/03/31,1147.39
2002/04/30,1076.92
2002/05/31,1067.14
2002/06/30,989.82
2002/07/31,911.62
2002/08/31,916.07
2002/09/30,815.28
2002/10/31,885.77
2002/11/30,936.31
2002/12/31,879.82
2003/01/31,855.7
2003/02/28,841.15
2003/03/31,848.18
2003/04/30,916.92
2003/05/31,963.59
2003/06/30,974.5
2003/07/31,990.31
2003/08/31,1008.01
2003/09/30,995.97
2003/10/31,1050.71
2003/11/30,1058.2
2003/12/31,1111.92
2004/01/31,1131.13
2004/02/29,1144.94
2004/03/31,1126.21
2004/04/30,1107.3
2004/05/31,1120.68
2004/06/30,1140.84
2004/07/31,1101.72
2004/08/31,1104.24
2004/09/30,1114.58
2004/10/31,1130.2
2004/11/30,1173.82
2004/12/31,1211.92
2005/01/31,1181.27
2005/02/28,1203.6
2005/03/31,1180.59
2005/04/30,1156.85
2005/05/31,1191.5
2005/06/30,1191.33
2005/07/31,1234.18
2005/08/31,1220.33
2005/09/30,1228.81
2005/10/31,1207.01
2005/11/30,1249.48
2005/12/31,1248.29
2006/01/31,1280.08
2006/02/28,1280.66
2006/03/31,1294.83
2006/04/30,1310.61
2006/05/31,1270.09
2006/06/30,1270.2
2006/07/31,1276.66
2006/08/31,1303.82
2006/09/30,1335.85
2006/10/31,1377.94
2006/11/30,1400.63
2006/12/31,1418.3
2007/01/31,1438.24
2007/02/28,1406.82
2007/03/31,1420.86
2007/04/30,1482.37
2007/05/31,1530.62
2007/06/30,1503.35
2007/07/31,1455.27
2007/08/31,1473.99
2007/09/30,1526.75
2007/10/31,1549.38
2007/11/30,1481.14
2007/12/31,1468.36
2008/01/31,1378.55
2008/02/29,1330.63
2008/03/31,1322.7
2008/04/30,1385.59
2008/05/31,1400.38
2008/06/30,1280
2008/07/31,1267.38
2008/08/31,1282.83
2008/09/30,1166.36
2008/10/31,968.75
2008/11/30,896.24
2008/12/31,903.25
2009/01/31,825.88
2009/02/28,735.09
2009/03/31,797.87
2009/04/30,872.81
2009/05/31,919.14
2009/06/30,919.32
2009/07/31,987.48
2009/08/31,1020.62
2009/09/30,1057.08
2009/10/31,1036.19
2009/11/30,1095.63
2009/12/31,1115.1
2010/01/31,1073.87
2010/02/28,1104.49
2010/03/31,1169.43
2010/04/30,1186.69
2010/05/31,1089.41
2010/06/30,1030.71
2010/07/31,1101.6
2010/08/31,1049.33
2010/09/30,1141.2
2010/10/31,1183.26
2010/11/30,1180.55
2010/12/31,1257.64
2011/01/31,1286.12
2011/02/28,1327.22
2011/03/31,1325.83
2011/04/30,1363.61
2011/05/31,1345.2
2011/06/30,1320.64
2011/07/31,1292.28
2011/08/31,1218.89
2011/09/30,1131.42
2011/10/31,1253.3
2011/11/30,1246.96
2011/12/31,1257.6
2012/01/31,1312.41
2012/02/29,1365.68
2012/03/31,1408.47
2012/04/30,1397.91
2012/05/31,1310.33
2012/06/30,1362.16
2012/07/31,1379.32
2012/08/31,1406.58
2012/09/30,1440.67
2012/10/31,1412.158
2012/11/30,1416.18
2012/12/31,1426.19
2013/01/31,1498.11
2013/02/28,1514.68
2013/03/31,1569.19
2013/04/30,1597.57
2013/05/31,1630.74
2013/06/30,1606.28
2013/07/31,1685.73
2013/08/31,1632.97
2013/09/30,1681.55
2013/10/31,1756.54
2013/11/30,1805.81
2013/12/31,1848.36
2014/01/31,1782.59
2014/02/28,1859.45
2014/03/31,1872.34
2014/04/30,1883.95
2014/05/31,1923.57
2014/06/30,1960.23
2014/07/31,1930.67
2014/08/31,2003.37
2014/09/30,1972.29
2014/10/31,2018.05
2014/11/30,2067.56
2014/12/31,2058.9
2015/01/31,1994.99
2015/02/28,2104.5
2015/03/31,2067.89
2015/04/30,2085.51
2015/05/31,2107.39
2015/06/30,2063.11
2015/07/31,2103.84
2015/08/31,1972.18
2015/09/30,1920.03
2015/10/31,2079.36
2015/11/30,2080.41
2015/12/31,2043.94
2016/01/31,1940.24
2016/02/29,1932.23
2016/03/31,2059.74
2016/04/30,2065.3
2016/05/31,2096.96
2016/06/30,2098.86
2016/07/31,2173.6
2016/08/31,2170.95
2016/09/30,2168.27
2016/10/31,2126.15
2016/11/30,2198.81
2016/12/31,2238.83
2017/01/31,2278.87
2017/02/28,2363.64
2017/03/31,2362.72
2017/04/30,2384.2
2017/05/31,2411.8
2017/06/30,2423.41
2017/07/31,2470.3
2017/08/31,2471.65
2017/09/30,2519.36
2017/10/31,2575.26
2017/11/30,2647.58
2017/12/31,2673.61
2018/01/31,2823.81
2018/02/28,2713.83
2018/03/31,2640.87
2018/04/30,2648.05
2018/05/31,2705.27
2018/06/30,2718.37
2018/07/31,2816.29
2018/08/31,2901.52
2018/09/30,2913.98
2018/10/31,2711.74
2018/11/30,2760.17
2018/12/31,2506.85
2019/01/31,2704.1
2019/02/28,2784.49
